Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Source Code,Main,MainPage,5,5,3,2,87,6,0,2,0.0,0,1,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\Main\MainPage.java,14
Source Code,ShopAssistant,AddCostPage,9,9,11,11,140,19,0,2,0.2727272727272727,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\ShopAssistant\AddCostPage.java,24
Source Code,ShopAssistant,AdvancedStockCheckPage,19,19,10,10,219,27,0,2,0.2,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\ShopAssistant\AdvancedStockCheckPage.java,25
Source Code,ShopAssistant,CreatePurchaseInvoicePage,0,0,7,7,50,11,0,2,-1.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\ShopAssistant\CreatePurchaseInvoicePage.java,11
Source Code,ShopAssistant,CreateSalesInvoicePage,0,0,7,7,69,15,0,2,-1.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\ShopAssistant\CreateSalesInvoicePage.java,11
Source Code,ShopAssistant,DailyIncomeCostPage,17,17,10,10,243,30,0,2,0.2,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\ShopAssistant\DailyIncomeCostPage.java,23
Source Code,ShopAssistant,DueCheckPage,16,16,21,21,335,48,0,2,0.2857142857142857,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\ShopAssistant\DueCheckPage.java,29
Source Code,ShopAssistant,HomePage,10,10,10,10,199,24,0,2,0.2,3,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\ShopAssistant\HomePage.java,24
Source Code,ShopAssistant,LoginPage,6,0,4,4,72,6,0,2,0.0,3,1,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\ShopAssistant\LoginPage.java,18
Source Code,ShopAssistant,SettingsPage,29,29,21,21,455,63,0,2,0.09523809523809523,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\ShopAssistant\SettingsPage.java,26
Source Code,ShopAssistant,StaffAttendancePage,14,14,13,13,263,41,0,2,0.15384615384615385,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\ShopAssistant\StaffAttendancePage.java,29
Source Code,ShopAssistant,StockCheckPage,6,6,7,7,111,17,0,2,0.2857142857142857,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\ShopAssistant\StockCheckPage.java,25
Source Code,Templates,DashBoardTemplate,17,17,19,19,215,29,8,1,0.631578947368421,0,11,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\Templates\DashBoardTemplate.java,31
Source Code,Templates,FrameSetup,19,19,12,12,198,22,3,0,0.6666666666666666,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\Templates\FrameSetup.java,16
Source Code,Templates,InvoiceGeneratorTemplate,58,58,45,45,706,119,2,1,0.28888888888888886,0,4,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\Templates\InvoiceGeneratorTemplate.java,35
Source Code,Templates,StartingTemplate,5,5,4,4,48,4,2,1,0.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\prosanto\Source Code\Templates\StartingTemplate.java,11
